a_id,user_id,repository_pair_id,annotation_date,synergy,direction,explanation
57,15,43,2020-04-30 11:17:12.977603+00:00,3,12,Visualization from Repo2 can be integrated into Repo 1 for stl meshes
58,15,44,2020-04-30 11:18:07.512900+00:00,3,12,Tutorials from Repo 2 can be merged into Repo 1
59,15,45,2020-04-30 11:18:41.465875+00:00,1,0,
60,15,46,2020-04-30 11:19:35.942390+00:00,1,0,
61,15,47,2020-04-30 11:19:47.894246+00:00,1,0,
62,15,48,2020-04-30 11:20:08.645178+00:00,1,0,
63,15,49,2020-04-30 11:21:39.764241+00:00,1,0,
64,15,50,2020-04-30 11:22:34.477246+00:00,3,2,Both are modules of the same course that may be combined together. 
65,15,51,2020-04-30 11:23:01.729768+00:00,1,0,
69,15,55,2020-04-30 11:25:49.525687+00:00,4,12,RBM network from Repo1 can be visualized using Repo2
66,15,52,2020-04-30 11:23:37.322916+00:00,1,0,
67,15,53,2020-04-30 11:24:08.640200+00:00,1,0,
68,15,54,2020-04-30 11:24:36.597563+00:00,1,0,
70,15,56,2020-04-30 11:26:13.470646+00:00,1,0,
71,15,57,2020-04-30 11:28:17.345027+00:00,3,21,BPE tokenization from Repo1 can be used in Repo2 for preprocessing classification datasets. 
72,15,58,2020-04-30 11:40:03.495582+00:00,4,12,Examples of each machine learning approach in Repo1 can be presented as notebooks from Repo2 to increase reproducibility. 
73,15,59,2020-04-30 11:40:34.382054+00:00,1,0,
74,15,60,2020-04-30 11:41:05.788977+00:00,1,0,
75,16,61,2020-04-30 13:46:34.430508+00:00,3,21,Rerouting for special routes in Repo 2 can benefit from Repo 1
76,16,62,2020-04-30 13:48:51.781665+00:00,3,21,"If a Mac is configured to use EAP wireless network, then may be Repo 2 can include Repo 1 to get more evidence/ probabilities of any malware through WLAN"
77,16,63,2020-04-30 13:49:06.779222+00:00,1,0,
78,16,64,2020-04-30 13:50:06.155873+00:00,4,21,Maps from Repo 1 can be used to improve the Minecraft renders in Repo 2
79,16,65,2020-04-30 13:50:35.999322+00:00,1,0,
80,16,66,2020-04-30 13:52:48.319145+00:00,4,21,"Although monitoring of voltages for air quality sensors might be included in Repo 2, Repo 1 provides that for the Raspberry Pi boards themselves."
81,16,67,2020-04-30 13:55:48.239430+00:00,3,2,They both do similar tasks of managing messaging queues. Repo 1 provides more scalability and merging the two seeems like  a good idea. 
82,16,68,2020-04-30 13:56:18.587653+00:00,1,0,
83,16,69,2020-04-30 13:57:18.182525+00:00,3,2,Merging the two will improve task management on a larger scale. 
84,16,70,2020-04-30 13:58:23.266562+00:00,3,21,Tensorflow tutorials from Repo1 can be integrated into the deep learning resources in Repo 2
85,16,71,2020-04-30 13:59:47.549118+00:00,4,21,Repo  2 can add support for statistical models using Repo 1
86,16,72,2020-04-30 13:59:58.716978+00:00,1,0,
87,16,73,2020-04-30 14:00:22.468408+00:00,1,0,
88,16,74,2020-04-30 14:01:22.382563+00:00,1,0,
89,16,75,2020-04-30 14:03:41.738797+00:00,1,0,
90,16,76,2020-04-30 14:04:35.996023+00:00,1,0,
91,16,77,2020-04-30 14:06:05.966632+00:00,4,21,Keyphrases suited to a writing style (from Repo1) can be generated along with domain relevant key phrases in Repo 2
92,16,78,2020-04-30 14:07:31.544370+00:00,3,21,Tutorials from Repo 1 can be integrated into Repo 2 for completeness. 
93,16,79,2020-04-30 14:07:43.175010+00:00,1,0,
94,16,80,2020-04-30 14:08:44.671743+00:00,3,21,Python applications specific to Linux from Repo 1 can be listed in Repo 2
95,16,81,2020-04-30 14:12:14.740149+00:00,4,21,Repo 2 can benefit by including the panic button protocol from Repo 1 to prevent attacks on tire pressure monitoring systems.
96,16,82,2020-04-30 14:14:40.486986+00:00,1,0,
97,16,83,2020-04-30 14:14:57.787570+00:00,1,0,
98,16,84,2020-04-30 14:15:13.723344+00:00,1,0,
99,16,85,2020-04-30 14:16:20.849317+00:00,1,0,
100,16,86,2020-04-30 14:18:27.103727+00:00,3,12,"Limited background knowledge, but may be the RTC clients can use Repo 2? "
101,16,87,2020-04-30 14:19:18.513512+00:00,2,2,They can be merged into one list of deep learning tutorials. 
102,16,88,2020-04-30 14:20:33.007243+00:00,4,2,Web applications using Python as backend and React as front end can leverage these libraries for better data visualizations in Python. 
103,16,89,2020-04-30 14:20:49.880466+00:00,1,0,
104,16,90,2020-04-30 14:21:04.156501+00:00,1,0,
105,20,61,2020-04-30 14:34:55.909960+00:00,3,21,The reverse proxy features in Repository 1 can enhance the proxy feature provided by Repository 2.
106,20,62,2020-04-30 14:42:08.338441+00:00,4,2,A combination of this projects can produce a fully fletched analyzing tool to detect possible vulnerabilities of computer systems.
107,20,63,2020-04-30 14:44:43.769886+00:00,1,0,Readme of Repository 2 is too poorly maintained to get any information regarding synergy from this files.
108,20,64,2020-04-30 14:47:52.651659+00:00,3,21,The maps of Repository 1 can be offered inside Repository 2 as a starting point.
109,20,65,2020-04-30 14:50:41.630280+00:00,1,0,No relation found
110,20,66,2020-04-30 14:54:40.099343+00:00,4,12,Use the features of repository 2 to creater a accurate forecasting on how long the attached battery pack will last under the measured outside conditions.
111,20,67,2020-04-30 14:58:36.196985+00:00,2,2,Both Repositorys implement a similar function.
112,20,68,2020-04-30 15:00:39.428960+00:00,1,0,Totally different.
113,20,69,2020-04-30 15:02:24.298345+00:00,2,2,Similar functionalty
114,20,70,2020-04-30 15:03:59.853485+00:00,4,2,A combination of this repositorys may create a more complete introduction into machine learning with tensorflow and deep learning
115,20,71,2020-04-30 15:06:00.327566+00:00,3,21,Include Repository 1 into Repository 2 to enable statistical computations in the machine learning library of repository 2. This may enhance the processing of the results.
116,20,72,2020-04-30 15:07:26.004088+00:00,1,0,
117,20,73,2020-04-30 15:08:53.526892+00:00,1,0,
118,20,74,2020-04-30 15:10:22.990470+00:00,1,0,
119,20,75,2020-04-30 15:12:28.093550+00:00,1,0,
120,20,76,2020-04-30 15:15:05.814241+00:00,3,21,Repository 1 can be used inside of repository 2 to make it more lightweight
121,20,77,2020-04-30 15:17:33.140945+00:00,4,21,Use both repositorys to create a platform to safely parse handwritten documents and generate domain knowledge about the contents.
122,20,78,2020-04-30 15:21:01.661263+00:00,3,12,Use Repository 1 to provide a more easy introduction into deeplearning topics
123,20,79,2020-04-30 15:23:42.822258+00:00,3,12,I think every project ever can benefit of Repository 2
124,20,80,2020-04-30 15:27:28.424680+00:00,2,12,"A language localization is missing in repository 1. Otherwise both projects do the same for a different topic (Python, UNIX)"
125,20,81,2020-04-30 15:29:35.515100+00:00,1,0,
126,20,82,2020-04-30 15:31:26.930316+00:00,3,12,Use Repository 2 as a connector to store data in MongoDB
127,20,83,2020-04-30 15:36:36.974375+00:00,3,12,Use the high performance techniques for scanned documents in higher quality
128,20,84,2020-04-30 15:37:48.317608+00:00,1,0,
129,20,85,2020-04-30 15:40:20.930969+00:00,3,12,RBM Support can be added to Repo 1
130,20,86,2020-04-30 15:42:01.499782+00:00,3,12,Add protocol parser to Application Server described in Repo 1
131,20,87,2020-04-30 15:43:32.712283+00:00,4,2,Create a combined introduction to DeepLearning and GAN in one Project
132,20,88,2020-04-30 15:47:26.068776+00:00,4,2,Use both repos to create a enhanced framework to build interactive frontend applications using python
133,20,89,2020-04-30 15:49:29.037174+00:00,1,0,
134,20,90,2020-04-30 15:53:02.859384+00:00,3,12,Add google maps support additionally to STL Files
135,12,1,2020-05-01 08:14:52.242210+00:00,1,0,"image generation from text vs. testing wireless security.
operate on different type of information: natural language vs. bit streams"
136,12,2,2020-05-01 08:25:00.647728+00:00,1,0,visualize program code vs. maintain certificates
137,12,3,2020-05-01 08:30:53.980447+00:00,1,0,image scraping for some websites vs. word embedding provider
138,12,4,2020-05-01 08:46:06.059340+00:00,2,21,"transfer terminal output to other terminals/machines vs. user friendly remote code processing
somehow similar, but the first is good for self hosed services, while the last is just a better front end for a application that is hosted by amazon"
139,12,5,2020-05-01 08:49:47.663573+00:00,1,0,web font vs. generating corpora for different languages using the web
140,12,6,2020-05-01 09:06:19.245489+00:00,4,21,"project 1 is already build into project 2, because Absolute Series Scanner is project 1"
141,12,7,2020-05-01 09:08:43.211273+00:00,1,0,create corpora for different languages using the web vs. visualization of the Greenhouse Gas
142,12,8,2020-05-01 09:25:29.726941+00:00,4,12,"project 1 visualizes genomic data, and project 2 provides data for T-cell receptor sequences of known antigen specificity
i don't know if this is actually genomic data, so there might be no synergy "
143,12,9,2020-05-01 09:33:35.176347+00:00,2,2,"project 1 makes reading inconsistent pdfs easier, while project 2 formats python code to a predefined format and makes reading a python project consistent. Maybe one could integrate both tools to clean a messy python project with a messy documentation in pdf format, but i think if such a project exits no one would use it anyway."
144,12,10,2020-05-01 09:38:32.671192+00:00,1,0,python package mirror vs. modding of some nintendo 3ds games
145,12,11,2020-05-01 09:45:39.741278+00:00,4,12,"one can easily build a python django project using both projects.
project 1 can define rules based on information added by project 2"
146,12,12,2020-05-01 09:54:30.424386+00:00,1,0,"hosting python applications on heroku vs. fit topic model to massiv data
one could use the first project to host the second on heroku as a webservice to apply topic modeling "
147,12,13,2020-05-01 10:01:35.265686+00:00,1,0,better manage amazon cluster vs. natural language model for question answering
148,12,14,2020-05-01 10:12:21.679336+00:00,1,0,"project 1 finds somatic fusion genes and project 2 finds interactions between dna and proteins
it could be beneficial but i don't enough about this level of biology to understand how "
149,12,15,2020-05-01 10:21:40.156372+00:00,4,21,"project 1 implements zigbee protocol as a python library to manage Internet of Things devices.
project 2 is a python library for managing IoT devices produced by Xiaomi, it uses its own protocol (miIO protocol), maybe it could use zigbee but only if these devices support zigbee"
150,12,16,2020-05-01 12:22:40.986648+00:00,1,0,project 2 is mentioned in project 1
151,12,17,2020-05-01 12:39:35.369992+00:00,1,0,"both projects use a tree structure for their task
project 1 is a pattern matcher, while project 2 is a interval matcher
i can't think of any useful combination"
152,12,18,2020-05-01 12:48:54.468885+00:00,3,12,one could write a extension for project 1 which would allow to update the documentation on commit/push with one click on the server hosted using project 2
153,12,19,2020-05-01 13:00:16.983479+00:00,3,12,project 1 can mention project 2 since project 1 is a survey
154,12,20,2020-05-01 13:03:23.940275+00:00,1,0,analysis of program code vs. bitcoin transactions 
155,12,21,2020-05-01 13:12:26.558042+00:00,1,0,"virtual machine vs. trigger events based on music
maybe one could use project 1 to isolate project 2 from ones own system"
156,12,22,2020-05-01 13:15:40.203806+00:00,1,0,different fields: information theory vs. software testing
170,13,36,2020-05-01 15:30:36.844227+00:00,1,0,"project 1 benchmarks elasticsearch and project 2 adds a slack interface to python
project 1 is deprecated and unknown to work
they could be combined into a new project, but not by using only these 2 projects"
157,12,23,2020-05-01 13:21:40.447120+00:00,2,21,project 2 is a older version of project 1
158,12,24,2020-05-01 13:29:35.101982+00:00,3,21,project 2 could use data structures provided by project 1 to implement a second data structure which is persistent
159,12,25,2020-05-01 13:35:43.271563+00:00,1,0,communication api for african people vs. stock market trends for 150 years
160,12,26,2020-05-01 13:37:08.904952+00:00,1,0,duplicate
161,12,27,2020-05-01 13:54:08.089930+00:00,4,12,project 1 could generate locations that could be loaded by the plugin developed by project 2 for visualization
162,12,28,2020-05-01 14:15:31.671590+00:00,3,12,project 1 could use project 2 for async jobs if it needs them
163,12,29,2020-05-01 14:19:45.767692+00:00,1,0,it could be beneficial but i don't enough about this level of biology to understand how
164,12,30,2020-05-01 14:21:00.098352+00:00,1,0,duplicate of 16
165,13,31,2020-05-01 14:31:48.840251+00:00,4,2,both have different ideas to simplify and extend the git merge and rebase functionality
166,13,32,2020-05-01 14:45:56.124513+00:00,1,0,"project 1 makes unit tests more readable, while project 2 matches expressions
project 2 can not benefit by project 1
project 1 can not benefit by project 2, because it would not add extra functionality but extra dependencies"
167,13,33,2020-05-01 14:58:06.916156+00:00,2,12,"project 2 contains multilingual datasets that could be used by project 1, but they are not embeddings and it is unknown if they are state of the art"
168,13,34,2020-05-01 15:04:01.173353+00:00,4,12,"project 1 is made for raspberry pi but one could imagine using project 2 to send the color commands to the pi or use an external device and send the commands via zigbee, since project 1 has some problems with the power supply "
169,13,35,2020-05-01 15:26:53.961536+00:00,2,2,"since they are both django extensions, they can easily be used together in a project, but since project 1 is focused on modelless views and project 2 is focused on extending models with information, they seem not to be directly beneficial for each other "
171,13,37,2020-05-01 16:19:01.984360+00:00,1,0,download tool vs. graph generating model
172,13,38,2020-05-01 16:20:57.575518+00:00,1,0,"project 1 could be benefiting of project 2, if it needs persistent data
structures, but i don't think it does"
173,13,39,2020-05-01 16:22:38.018744+00:00,1,0,"both plot something, but it seems not to interact"
174,13,40,2020-05-01 16:29:39.090335+00:00,1,0,benchmark code vs. a empty python project structure for reference
175,13,41,2020-05-01 16:33:53.532134+00:00,1,0,bidirectional communication browser server vs. sublime plugin for visualization
176,13,42,2020-05-01 16:38:26.852546+00:00,1,0,schema definition for constraint checking vs. neural network for relation extraction
177,13,43,2020-05-01 16:40:29.600019+00:00,1,0,working with 3D objects vs. 2D trend data
178,13,44,2020-05-01 16:43:19.128051+00:00,4,2,both have some machine learning tutorials
179,13,45,2020-05-01 16:44:46.445102+00:00,1,0,scraper vs. better readable django orm
180,13,46,2020-05-01 16:51:43.971508+00:00,3,12,project 1 can use project 2 to implement some operations
181,13,47,2020-05-01 16:53:53.639070+00:00,1,0,neural network vs. web development async database query
182,13,48,2020-05-01 16:58:18.655610+00:00,1,0,programming problems to practice problem solving vs. color manipulation
183,13,49,2020-05-01 17:05:35.387043+00:00,1,0,
184,13,50,2020-05-01 17:06:03.445382+00:00,2,12,project 1 is older version of project 2
185,13,51,2020-05-01 17:10:51.729012+00:00,1,0,business intelligence vs film creation 
186,13,52,2020-05-01 17:12:32.554520+00:00,2,12,"repository 2 is a Turkish stemmer, repository 1 contains a turkish dataset"
187,13,53,2020-05-01 17:15:25.919635+00:00,1,0,custom linux configuration vs. vietnamese nlp toolkit
188,13,54,2020-05-01 17:18:55.354591+00:00,1,0,rpm packaging assistance vs. a library similar to os.path and pathlib
189,13,55,2020-05-01 17:32:58.662478+00:00,3,12,repository 2 checks for safety of neural networks but repository 1 is a harmless neural network
190,13,56,2020-05-01 17:35:15.605116+00:00,1,0,vscode c++ debuger vs. align blender objects easy
191,13,57,2020-05-01 17:39:33.955062+00:00,2,21,project 1 could be included in project 2 as an example
192,13,58,2020-05-01 17:44:03.960658+00:00,4,21,"repository 2 provides some machine learning tutorials for python and repository 1 provides some algorithms
repository one can be integrated to give further examples"
193,13,59,2020-05-01 17:51:09.370289+00:00,4,12,"project 2 can power raspberry pi by batteries and project 1 handles some IoT devices
when the raspberry pi uses batteries and they are low, the raspberry pi could notify some critical devices to stand by. it could also notify the owner to change batteries.
this could be useful, to avoid problems when the main power source is suddenly not available"
194,13,60,2020-05-01 17:57:07.582880+00:00,1,0,project to control knitting vs. project to benchmark functions
195,14,61,2020-05-01 18:19:20.973792+00:00,1,0,i don't know what project 2 does
196,14,62,2020-05-01 18:23:31.711278+00:00,4,2,"repository 1 checks security of wireless networks, while repository 2 checks if the machine is already infected
they can be combined to create a more powerful security tool"
197,14,63,2020-05-01 18:25:42.163013+00:00,1,0,machine orchestration vs. neural network
198,14,64,2020-05-01 18:29:55.044657+00:00,4,2,"one can create animations of historical events in the minecraft universe
project 1 creates the terrain and project 2 assists the creation of animation "
199,14,65,2020-05-01 18:32:29.924180+00:00,1,0,communication with bootloader vs. led driver
200,14,66,2020-05-01 18:34:33.157050+00:00,1,0,"measure battery power vs. measure humidity, air quality and temperature"
202,14,68,2020-05-01 18:53:55.702038+00:00,1,0,"first project prettifies html, while the second project gathers code coverage"
203,14,69,2020-05-01 22:34:05.405302+00:00,3,12,"repository 1 implements its own worker, while repository 2 uses redis
repository 2 has a functionality that avoids running duplicated tasks"
201,14,67,2020-05-01 18:49:54.777884+00:00,3,12,"repository 1 implements its own worker, while repository 2 uses redis
repository 2 can be used as alternative for Amazon SQS for the queue and redis for the workers"
204,14,70,2020-05-01 22:40:38.318734+00:00,4,21,"repository 2 is general tutorial of deep learning, while repository 1 is a concrete tutorial based on tensorflow
repository 1 could be integrated into repository 2 to provide real examples"
205,14,71,2020-05-01 22:49:34.696597+00:00,2,2,both implement some machine learning algorithms which the other doesn't have
206,14,72,2020-05-01 22:56:48.579657+00:00,4,21,"project 2 is for educational purpose and has some animations to visualize algorithms, while project 1 provides easy color management in python
maybe project 2 could use project 1 to make the creation of animations easier"
207,14,73,2020-05-01 23:08:58.040530+00:00,4,2,"project 1 is for processing tasks while serving a flask web app, while project 2 is for scraping linked in job offers
they could be combined to display certain job offers in ones own web app"
208,14,74,2020-05-01 23:18:26.237620+00:00,1,0,check account security vs. parsing java code
209,14,75,2020-05-01 23:25:28.375660+00:00,1,0,software for aiding science vs. software for password cracking
210,14,76,2020-05-01 23:27:03.298926+00:00,1,0,fast web server vs. project to automate knitting
211,14,77,2020-05-01 23:33:59.334448+00:00,4,2,"one could use both projects to create an app that finds text based on a certain domain and writing style
it could be used to find texts that fit to an author, because authors often use the same words over again and have one writing style"
212,14,78,2020-05-01 23:36:06.130432+00:00,4,21,"project 1 provides deep learning tutorials based on tensor flow, while project 2 provides deep learning resources"
213,14,79,2020-05-01 23:37:32.657251+00:00,1,0,enhance anime with metadata vs. extend git merge
214,14,80,2020-05-01 23:40:54.078138+00:00,2,2,"project 1 is a resource for python projects, while project 2 is a resource for linux software
both are basically a resource of sofware and could be used to build a combined resource"
216,14,82,2020-05-02 00:01:08.597343+00:00,1,0,text summarization vs. web app for social network
217,14,83,2020-05-02 00:05:05.171156+00:00,1,0,digitize paper vs. face recognition
219,14,85,2020-05-02 00:09:32.781253+00:00,1,0,maybe project 2 can use GAN provided by project 1
220,14,86,2020-05-02 00:13:11.196331+00:00,1,0,still don't know what project 2 does but it doesn't seem like it can be used with project 1
221,14,87,2020-05-02 00:17:00.576562+00:00,4,12,"project 1 gives overview over deep learing, while project 2 gives especially overview over GANs
project 2 could be used to update project 1 "
222,14,88,2020-05-02 00:20:39.339611+00:00,3,12,"visualization from python using javascript with d3.js vs. react components
maybe project 1 could use project 2 to provide further functionality for the d3.js charts"
215,14,81,2020-05-01 23:53:30.694405+00:00,1,0,fast cluster shutdown vs. car tire information
223,14,89,2020-05-02 00:21:14.676610+00:00,1,0,make pdf files more readable vs. create rpm packages
224,14,90,2020-05-02 00:21:55.326271+00:00,1,0,3d data vs. coordinates
218,14,84,2020-05-02 00:06:54.631592+00:00,1,0,data manipulation vs. ui elements in website
225,19,65,2020-05-04 06:17:11.595534+00:00,1,0,"A Python tool to read/write ESP32 Chips on the other side apa102-pi, a program to control LEDs on a Raspberry Pi.Perhaps you can write LEDs command with esptool.py in chips. "
226,19,66,2020-05-04 06:27:15.104935+00:00,3,21,"If you use sensors with battery, PiCheckVoltage would be a way to control Voltage Status."
227,19,67,2020-05-04 06:46:04.884111+00:00,2,2,Both Repository gives you a task queue solution.
228,19,68,2020-05-04 07:11:41.215049+00:00,1,0,"Codecov Global Python Uploader combines your repository, is a nice tool BeautifulSoup to work with HTML/XML"
229,19,69,2020-05-04 07:13:32.087872+00:00,2,2,Both Repositories give you a task queue.
230,19,70,2020-05-04 07:18:15.749109+00:00,2,21,"The ""Deep Learning - All You Need to Know""-Notebook can use TensorFlow as base system."
231,19,71,2020-05-04 07:25:55.449537+00:00,3,2,If you combine these Repositories you can create a powerful library for statistic and machine learning.
232,19,72,2020-05-04 07:40:48.947079+00:00,1,0,Colour would be nice if you polt your data.
233,19,73,2020-05-04 07:52:03.200472+00:00,1,0,Flask handles and scales large background processes and LinkedIn Jobs Scaper looks for jobs on your account. But LinkedIn Jobs Scaper is not a tool to handle big data on background processes.
234,19,74,2020-05-04 08:06:20.357177+00:00,3,12,"If there some configurations in Java, Javalang could be a good choice to check java code with python"
235,19,75,2020-05-04 08:18:00.673629+00:00,1,0,"BioStar Central ist a web-based tool to produce better software with an installation process and minimal dependencies, and PACK is just a script to crack passwords."
236,19,76,2020-05-04 08:24:07.019444+00:00,3,21,Knitlib can use Sanic to build a highly performant HTTP server.
237,19,77,2020-05-04 08:27:54.322416+00:00,3,12,You expand Identifying Different Writing Styles with bayzee to chance the classification algorithm from K-Means to Naive Bayes.
238,19,78,2020-05-04 08:30:53.757077+00:00,3,21,They can use TensorFlow as their Basesystem.
239,19,79,2020-05-04 08:35:49.735382+00:00,1,0,Their is no synergy! Plex is a media server and git cascade and git forward-merge is a tool to merge git-branches without checking them out.
240,19,80,2020-05-04 08:47:04.439462+00:00,3,21, Add Awesome Python Applications to Awesome Linux Software
241,10,1,2020-05-04 08:48:58.350193+00:00,1,0,"Maybe at some point in the future something like Repo 1 could be used to generate visualizations for the wireless scanning in Repo 2. But this is far too speculative to consider it a real synergy, in my view."
242,10,2,2020-05-04 08:54:02.315776+00:00,1,0,"I cannot see most of the Readme for Repository 1 in the annotation UI. From what I can gather: Repo1 generates control flow graphs for Java code, Repo2 is implemented in Python. "
243,10,3,2020-05-04 08:55:53.445985+00:00,1,0,
244,10,4,2020-05-04 09:01:15.239898+00:00,3,12,Repo2 could potentially provide an alternative backend service for Repo1
245,10,5,2020-05-04 09:02:16.144067+00:00,1,0,
246,19,81,2020-05-04 09:02:52.984477+00:00,1,0,TPMS monitors automotive tire pressure and panic_bcast  is a network security feature which prevents a cold-boot attack
247,10,6,2020-05-04 09:04:13.102585+00:00,2,2,Both projects appear to do essentially the same thing.
248,10,7,2020-05-04 09:04:55.789268+00:00,1,0,
249,10,8,2020-05-04 09:10:02.227800+00:00,1,0,"I don't know enough computational biology to be sure, but maybe the genome database in Repo 2 can benefit from the visualization tool in Repo 1? The fact that they use different technology stacks (Python vs Groovy) kind of speaks against this, though."
250,10,9,2020-05-04 09:10:13.545975+00:00,1,0,
251,10,10,2020-05-04 09:11:32.576018+00:00,1,0,
